Date,Open,High,Low,Close,Ticks,Volume,Spread
2017.05.16,1.05,1.08,1.05,1.08,675,22707200,1
2017.05.17,1.08,1.08,1.06,1.08,834,25318400,1
2017.05.18,0.95,0.97,0.88,0.9,1141,46822400,1
2017.05.19,0.96,1.0,0.95,0.95,1132,38451200,1
2017.05.22,0.94,0.95,0.85,0.85,763,24627200,1
2017.05.23,0.88,0.94,0.85,0.93,889,26675200,1
2017.05.24,0.94,0.97,0.94,0.96,630,20198400,1
2017.05.25,0.96,0.98,0.94,0.96,821,24857600,1
2017.05.26,0.97,0.98,0.96,0.98,499,16102400,1
2017.05.29,0.97,1.0,0.97,0.99,291,9344000,1
2017.05.30,0.99,1.01,0.99,1.0,321,10368000,1
2017.05.31,1.0,1.02,0.96,0.96,646,26368000,1
2017.06.01,0.97,0.99,0.93,0.95,587,19660800,1
2017.06.02,0.96,0.97,0.92,0.93,1361,40960000,1
2017.06.05,0.93,0.93,0.91,0.91,762,24089600,1
2017.06.06,0.91,0.92,0.87,0.91,999,33305600,1
2017.06.07,0.92,0.96,0.91,0.96,823,27929600,1
2017.06.08,0.96,1.0,0.95,0.99,875,27340800,1
2017.06.09,0.99,1.01,0.96,0.97,588,17049600,1
2017.06.12,0.96,0.99,0.95,0.95,556,21580800,1
2017.06.13,0.96,0.98,0.94,0.98,646,22144000,1
2017.06.14,0.98,1.0,0.98,0.99,861,25318400,1
2017.06.16,0.99,0.99,0.95,0.99,837,25676800,1
2017.06.19,0.98,1.0,0.98,0.99,464,16179200,1
2017.06.20,0.99,0.99,0.94,0.94,1084,33049600,1
2017.06.21,0.96,0.97,0.94,0.94,841,26521600,1
2017.06.22,0.95,0.95,0.92,0.92,779,25164800,1
2017.06.23,0.93,0.95,0.91,0.94,1012,39705600,1
2017.06.26,0.94,0.97,0.94,0.96,417,16128000,1
2017.06.27,0.96,0.97,0.93,0.94,565,16819200,1
2017.06.28,0.95,0.95,0.93,0.93,695,20838400,1
2017.06.29,0.93,0.96,0.93,0.95,681,20403200,1
2017.06.30,0.95,0.99,0.95,0.98,820,26649600,1
2017.07.03,0.98,1.0,0.98,1.0,509,14617600,1
2017.07.04,1.0,1.01,0.99,1.0,262,10060800,1
2017.07.05,0.99,1.0,0.99,1.0,668,27468800,1
2017.07.06,0.99,1.0,0.99,1.0,1030,43673600,1
2017.07.07,0.99,1.1,0.99,1.1,2055,71014400,1
2017.07.10,1.1,1.14,1.09,1.14,1312,54016000,1
2017.07.11,1.15,1.17,1.14,1.17,1159,34560000,1
2017.07.12,1.19,1.22,1.18,1.21,1105,34099200,1
2017.07.13,1.22,1.23,1.15,1.16,1299,53632000,1
2017.07.14,1.16,1.22,1.16,1.21,849,26035200,1
2017.07.17,1.21,1.27,1.21,1.27,1181,36864000,1
2017.07.18,1.29,1.34,1.29,1.32,1623,49945600,1
2017.07.19,1.35,1.36,1.3,1.33,2027,61542400,1
2017.07.20,1.33,1.35,1.32,1.34,862,28646400,1
2017.07.21,1.34,1.35,1.29,1.29,1324,37017600,1
2017.07.24,1.31,1.32,1.28,1.29,722,21350400,1
2017.07.25,1.31,1.34,1.29,1.33,1195,33920000,1
2017.07.26,1.33,1.34,1.31,1.32,861,25241600,1
2017.07.27,1.34,1.34,1.31,1.34,753,23219200,1
2017.07.28,1.33,1.41,1.32,1.41,1358,41932800,1
2017.07.31,1.44,1.47,1.38,1.41,1868,56396800,1
2017.08.01,1.48,1.48,1.41,1.42,1540,62080000,1
2017.08.02,1.41,1.45,1.39,1.43,2041,61721600,1
2017.08.03,1.45,1.45,1.41,1.43,1273,45132800,1
2017.08.04,1.44,1.51,1.42,1.51,2056,70758400,1
2017.08.07,1.51,1.56,1.51,1.54,2070,69862400,1
2017.08.08,1.54,1.55,1.48,1.51,2146,89139200,1
2017.08.09,1.5,1.58,1.49,1.56,1619,53017600,1
2017.08.10,1.56,1.58,1.51,1.52,1236,37964800,1
2017.08.11,1.52,1.59,1.52,1.59,1496,43520000,1
2017.08.14,1.59,1.72,1.58,1.71,1853,55859200,1
2017.08.15,1.74,1.78,1.72,1.74,1545,48998400,1
2017.08.16,1.78,1.88,1.76,1.88,1946,65971200,1
2017.08.17,1.95,1.95,1.7,1.73,3064,97305600,1
2017.08.18,1.66,1.8,1.63,1.76,2269,69657600,1
2017.08.21,1.77,1.84,1.77,1.82,1517,50739200,1
2017.08.22,1.83,1.84,1.77,1.8,1030,31641600,1
2017.08.23,1.77,1.79,1.73,1.78,1034,31616000,1
2017.08.24,1.77,1.85,1.76,1.83,1218,39552000,1
2017.08.25,1.84,1.86,1.81,1.84,1300,37043200,1
2017.08.28,1.84,1.93,1.84,1.9,1178,36147200,1
2017.08.29,1.89,1.91,1.87,1.9,642,18099200,1
2017.08.30,1.91,2.0,1.9,1.98,1441,43648000,1
2017.08.31,1.99,2.19,1.99,2.18,2690,86707200,1
2017.09.01,2.22,2.32,2.16,2.17,2668,86272000,1
2017.09.04,2.17,2.39,2.13,2.39,1935,67072000,1
2017.09.05,2.45,2.65,2.41,2.52,12099,94406400,1
