<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2017.09.01;31.06;32.10;27.12;27.89;653740;417752600;1
2017.10.01;28.22;29.66;26.89;28.09;624452;416219000;1
2017.11.01;28.70;32.07;27.95;30.75;634610;390249200;1
2017.12.01;30.80;35.55;30.53;35.55;596235;341103100;1
2018.01.01;35.71;38.63;35.71;36.60;580505;324371500;1
2018.02.01;36.73;42.03;35.25;39.78;625958;390640700;1
2018.03.01;39.92;40.29;35.71;37.63;609906;377402800;1
2018.04.01;37.72;43.81;37.07;43.38;521535;304897600;1
2018.05.01;43.23;49.92;43.16;45.13;727828;374784900;1
2018.06.01;45.37;50.59;41.24;44.20;729818;401190300;1
2018.07.01;43.58;49.01;42.43;48.88;537927;328792600;1
2018.08.01;47.60;51.54;44.98;48.99;670909;371953300;1
2018.09.01;48.69;57.03;47.28;54.65;491073;264921200;1
2018.10.01;54.52;56.82;48.09;51.85;862070;434262600;1
2018.11.01;51.88;53.73;44.80;48.27;790948;400902200;1
2018.12.01;50.83;50.90;45.05;46.63;744168;349249500;1
2019.01.01;45.72;51.38;38.73;41.60;1296982;700938800;1
2019.02.01;41.80;43.65;37.04;43.06;957594;509106400;1
2019.03.01;43.23;47.90;40.73;46.56;761919;421032300;1
2019.04.01;47.86;49.19;45.14;45.80;673975;325851900;1
2019.05.01;45.05;46.63;41.89;44.80;875505;474417000;1
2019.06.01;45.12;48.55;43.75;47.38;634737;349706500;1
2019.07.01;48.55;49.51;45.00;45.54;805800;405938200;1
2019.08.01;45.02;45.11;38.80;41.66;981255;500626100;1
2019.09.01;42.56;45.99;41.45;43.65;648670;367473100;1
2019.10.01;43.75;44.72;40.43;43.15;744081;377567200;1
2019.11.01;43.70;47.08;42.93;45.69;634674;347207100;1
2019.12.01;45.85;50.54;45.81;49.88;641783;346879400;1
2020.01.01;50.52;53.68;46.61;47.05;928751;489894000;1
2020.02.01;47.26;50.46;40.43;41.47;858187;463491700;1
2020.03.01;42.00;45.94;30.37;40.45;2223975;1029510900;1
2020.04.01;39.13;44.34;37.21;41.99;1336974;593516600;1
2020.05.01;40.90;50.23;40.62;49.60;1295017;647999600;1
2020.06.01;49.43;53.30;48.65;52.34;1319714;542437700;1
2020.07.01;52.49;58.92;50.59;56.82;1247138;564369500;1
2020.08.01;57.90;59.79;55.56;55.86;1280728;712940700;1
2020.09.01;56.43;59.57;54.58;57.48;1185858;619880600;1
2020.10.01;57.89;62.13;56.42;58.88;1141506;484752500;1
2020.11.01;60.20;76.04;59.54;74.74;1484730;760214600;1
2020.12.01;76.49;84.88;74.08;83.79;1324586;605083000;1
2021.01.01;85.62;99.03;84.12;84.27;1489500;647955000;1
2021.02.01;86.25;94.81;83.85;90.57;1289940;552003700;1
2021.03.01;91.99;101.93;90.85;93.01;1297914;539967600;0
