Date,Time,Open,High,Low,Close,Ticks,Volume,Spread
2018.07.30,12:00:00,3.726.500,3.731.500,3.720.500,3.728.000,63210,192190,500
2018.07.30,16:00:00,3.728.000,3.733.500,3.725.000,3.731.000,18534,65784,500
2018.07.31,08:00:00,3.738.000,3.777.000,3.736.500,3.769.000,168060,491279,500
2018.07.31,12:00:00,3.769.000,3.774.000,3.757.500,3.769.000,75705,248940,500
2018.07.31,16:00:00,3.769.000,3.773.500,3.763.500,3.769.000,22594,75813,500
2018.08.01,08:00:00,3.765.500,3.783.000,3.743.500,3.754.000,176503,512600,500
2018.08.01,12:00:00,3.754.000,3.769.000,3.753.500,3.766.000,83884,287966,500
2018.08.01,16:00:00,3.766.000,3.773.000,3.762.500,3.762.500,21880,84545,500
2018.08.02,08:00:00,3.786.000,3.794.000,3.770.000,3.772.500,155322,448807,500
2018.08.02,12:00:00,3.772.500,3.776.000,3.764.500,3.772.000,84515,301056,500
2018.08.02,16:00:00,3.772.500,3.777.000,3.761.500,3.764.000,23699,95173,500
2018.08.03,08:00:00,3.757.000,3.763.000,3.717.500,3.724.500,197956,622169,500
2018.08.03,12:00:00,3.724.000,3.726.500,3.712.500,3.718.000,68264,245911,500
2018.08.03,16:00:00,3.718.500,3.722.500,3.712.000,3.720.000,23186,91142,500
2018.08.06,08:00:00,3.717.000,3.744.000,3.702.500,3.737.000,139473,419078,500
2018.08.06,12:00:00,3.737.000,3.743.000,3.730.000,3.737.500,59584,198713,500
2018.08.06,16:00:00,3.738.000,3.748.500,3.737.500,3.748.500,18658,69425,500
2018.08.07,08:00:00,3.728.500,3.731.500,3.713.500,3.719.500,162922,448299,500
2018.08.07,12:00:00,3.719.500,3.774.000,3.718.000,3.770.000,133772,506290,500
2018.08.07,16:00:00,3.769.500,3.782.000,3.758.500,3.761.000,34727,147074,500
2018.08.08,08:00:00,3.768.500,3.782.000,3.752.500,3.756.000,197157,590640,500
2018.08.08,12:00:00,3.756.000,3.777.500,3.745.000,3.774.500,99232,337547,500
2018.08.08,16:00:00,3.774.500,3.783.000,3.771.500,3.781.500,26574,91128,500
2018.08.09,08:00:00,3.799.000,3.817.500,3.786.500,3.811.500,183941,531295,500
2018.08.09,12:00:00,3.812.000,3.829.500,3.809.000,3.811.000,116614,410177,500
2018.08.09,16:00:00,3.811.000,3.814.500,3.803.500,3.811.500,30013,111239,500
2018.08.10,08:00:00,3.839.500,3.881.500,3.833.500,3.853.000,246425,720121,500
2018.08.10,12:00:00,3.853.000,3.883.000,3.846.500,3.878.500,115887,412243,500
2018.08.10,16:00:00,3.878.500,3.882.500,3.859.000,3.868.500,46424,168004,500
2018.08.13,08:00:00,3.910.000,3.924.000,3.887.000,3.895.500,234206,644521,500
2018.08.13,12:00:00,3.895.500,3.937.500,3.894.000,3.923.500,164201,568114,500
2018.08.13,16:00:00,3.923.500,3.926.500,3.891.500,3.893.000,42398,154698,500
2018.08.14,08:00:00,3.869.000,3.896.500,3.867.000,3.883.000,205419,617443,500
2018.08.14,12:00:00,3.883.000,3.911.500,3.875.000,3.876.000,150317,520164,500
2018.08.14,16:00:00,3.875.500,3.879.000,3.867.000,3.874.500,32660,117523,500
2018.08.15,08:00:00,3.908.000,3.933.500,3.898.000,3.933.500,232215,698790,500
2018.08.15,12:00:00,3.933.000,3.935.000,3.886.000,3.907.000,180463,651105,500
2018.08.15,16:00:00,3.906.500,3.916.500,3.902.000,3.910.500,29325,109476,500
2018.08.16,08:00:00,3.894.000,3.903.000,3.874.500,3.887.000,185587,547501,500
2018.08.16,12:00:00,3.887.500,3.935.000,3.878.500,3.913.500,187504,674645,500
2018.08.16,16:00:00,3.913.500,3.915.000,3.906.500,3.914.000,22111,84620,500
2018.08.17,08:00:00,3.932.500,3.959.500,3.931.500,3.943.500,214292,640642,500
2018.08.17,12:00:00,3.943.000,3.952.500,3.923.000,3.932.000,117257,430015,500
2018.08.17,16:00:00,3.932.000,3.936.000,3.915.500,3.919.000,31252,113154,500
2018.08.20,08:00:00,3.923.500,3.962.000,3.921.000,3.950.500,177713,552735,500
2018.08.20,12:00:00,3.950.500,3.976.500,3.945.000,3.967.000,123814,446310,500
2018.08.20,16:00:00,3.966.500,3.977.500,3.960.000,3.973.500,32454,125044,500
2018.08.21,08:00:00,3.961.000,4.003.000,3.960.500,3.996.000,223936,680847,500
2018.08.21,12:00:00,3.996.000,4.036.500,3.989.000,4.033.000,156484,554805,500
2018.08.21,16:00:00,4.033.000,4.058.000,4.022.500,4.055.000,58915,232838,500
2018.08.22,08:00:00,4.042.500,4.093.500,4.035.500,4.088.000,292743,878719,500
2018.08.22,12:00:00,4.088.000,4.095.500,4.059.500,4.064.500,173884,550569,500
2018.08.22,16:00:00,4.064.000,4.069.500,4.046.000,4.046.000,43942,142723,500
2018.08.23,08:00:00,4.069.000,4.088.000,4.044.500,4.076.000,257244,763348,500
2018.08.23,12:00:00,4.076.000,4.132.000,4.074.000,4.112.000,190832,655951,500
2018.08.23,16:00:00,4.112.000,4.129.500,4.106.000,4.118.500,46789,156481,500
2018.08.24,08:00:00,4.098.000,4.110.000,4.076.500,4.084.500,274915,814505,500
2018.08.24,12:00:00,4.084.500,4.136.000,4.079.000,4.113.500,165286,552609,500
2018.08.24,16:00:00,4.113.500,4.116.000,4.101.000,4.108.000,31641,108880,500
2018.08.27,08:00:00,4.110.000,4.120.000,4.052.000,4.060.000,211855,623097,500
2018.08.27,12:00:00,4.060.000,4.097.000,4.055.500,4.083.500,151477,514289,500
2018.08.27,16:00:00,4.083.500,4.092.000,4.080.500,4.082.500,34569,116313,500
2018.08.28,08:00:00,4.072.500,4.148.500,4.066.500,4.137.500,281623,870478,500
2018.08.28,12:00:00,4.137.500,4.141.500,4.117.500,4.136.000,140057,476210,500
2018.08.28,16:00:00,4.135.500,4.150.500,4.134.500,4.141.000,43084,157576,500
2018.08.29,08:00:00,4.162.500,4.167.000,4.127.000,4.130.000,262242,753159,500
2018.08.29,12:00:00,4.129.500,4.148.000,4.120.000,4.126.000,149269,514016,500
2018.08.29,16:00:00,4.126.000,4.126.500,4.106.000,4.109.000,30327,114211,500
2018.08.30,08:00:00,4.127.000,4.188.500,4.120.500,4.183.000,275334,811947,500
2018.08.30,12:00:00,4.183.000,4.215.500,4.134.000,4.173.500,235451,795903,500
2018.08.30,16:00:00,4.174.000,4.180.000,4.138.500,4.150.000,46120,152313,500
2018.08.31,08:00:00,4.174.000,4.188.000,4.123.500,4.128.500,234916,640699,500
2018.08.31,12:00:00,4.128.500,4.150.000,4.066.000,4.076.000,186136,578886,500
2018.08.31,16:00:00,4.076.000,4.089.000,4.062.000,4.065.000,53059,161191,500
2018.09.03,08:00:00,4.103.000,4.155.000,4.094.500,4.140.500,187575,470131,500
2018.09.03,12:00:00,4.140.000,4.161.500,4.137.000,4.157.000,73609,200193,500
2018.09.03,16:00:00,4.156.500,4.172.000,4.151.500,4.168.000,31525,100026,500
2018.09.04,08:00:00,4.200.000,4.204.000,4.151.500,4.157.000,284426,767446,500
2018.09.04,12:00:00,4.156.500,4.186.500,4.148.000,4.167.500,176943,572083,500
2018.09.04,16:00:00,4.167.500,4.172.000,4.156.500,4.171.000,33529,112959,500
2018.09.05,08:00:00,4.191.000,4.196.500,4.159.500,4.162.500,285965,768656,500
2018.09.05,12:00:00,4.163.000,4.177.000,4.122.000,4.140.500,180467,564312,500
2018.09.05,16:00:00,4.141.000,4.161.000,4.138.000,4.155.000,38149,129595,500
2018.09.06,08:00:00,4.140.000,4.174.000,4.111.000,4.166.000,249582,684378,500
2018.09.06,12:00:00,4.165.500,4.169.000,4.116.500,4.125.000,153696,455236,500
2018.09.06,16:00:00,4.125.000,4.148.500,4.045.000,4.069.500,95396,279227,500
2018.09.10,08:00:00,4.075.000,4.115.500,4.061.000,4.101.000,254474,653532,500
2018.09.10,12:00:00,4.101.000,4.135.000,4.088.000,4.092.500,165734,512437,500
2018.09.10,16:00:00,4.092.000,4.104.500,4.086.500,4.095.000,45078,151931,500
2018.09.11,08:00:00,4.141.000,4.186.000,4.139.000,4.181.000,287746,764401,500
2018.09.11,12:00:00,4.181.000,4.181.500,4.149.500,4.166.500,145805,422733,500
2018.09.11,16:00:00,4.166.500,4.171.000,4.154.000,4.160.000,38173,119402,500
2018.09.12,08:00:00,4.126.000,4.148.500,4.117.000,4.140.500,261495,694077,500
2018.09.12,12:00:00,4.140.500,4.150.500,4.124.000,4.137.500,143957,468922,500
2018.09.12,16:00:00,4.137.500,4.174.000,4.135.000,4.167.500,53221,181223,500
2018.09.13,08:00:00,4.150.000,4.182.000,4.132.000,4.179.000,283075,797452,500
2018.09.13,12:00:00,4.179.000,4.201.500,4.170.000,4.197.500,150372,474944,500
2018.09.13,16:00:00,4.197.500,4.216.500,4.188.000,4.213.000,53658,184192,500
2018.09.14,08:00:00,4.211.000,4.216.500,4.170.500,4.189.500,266108,706641,500
2018.09.14,12:00:00,4.189.500,4.200.500,4.164.500,4.165.500,148697,455118,500
2018.09.14,16:00:00,4.166.000,4.180.000,4.165.500,4.180.000,28859,94777,500
2018.09.17,08:00:00,4.199.000,4.208.500,4.146.000,4.154.500,258133,685417,500
2018.09.17,12:00:00,4.154.000,4.182.500,4.135.000,4.141.000,148304,471321,500
2018.09.17,16:00:00,4.141.500,4.145.000,4.121.500,4.139.000,48785,164598,500
2018.09.18,08:00:00,4.133.500,4.154.000,4.123.000,4.143.000,241490,631088,500
2018.09.18,12:00:00,4.142.500,4.146.500,4.128.000,4.134.500,133353,422227,500
2018.09.18,16:00:00,4.134.500,4.169.000,4.133.500,4.167.000,42065,142885,500
2018.09.19,08:00:00,4.173.500,4.180.000,4.135.500,4.137.000,221120,588450,500
2018.09.19,12:00:00,4.137.000,4.137.000,4.103.000,4.127.000,156330,509012,500
2018.09.19,16:00:00,4.126.500,4.137.500,4.123.000,4.130.500,35530,117722,500
2018.09.20,08:00:00,4.115.500,4.125.500,4.091.500,4.115.000,252234,674226,500
2018.09.20,12:00:00,4.114.500,4.115.500,4.075.000,4.076.000,144459,453275,500
2018.09.20,16:00:00,4.076.000,4.083.000,4.073.000,4.079.000,32666,106500,500
2018.09.21,08:00:00,4.086.000,4.098.000,4.062.000,4.084.000,256298,722699,500
2018.09.21,12:00:00,4.084.000,4.086.000,4.030.000,4.042.500,167356,543259,500
2018.09.21,16:00:00,4.042.500,4.059.000,4.037.500,4.055.000,33923,118016,500
2018.09.24,08:00:00,4.061.000,4.081.000,4.038.000,4.059.000,249378,656475,500
2018.09.24,12:00:00,4.059.500,4.098.000,4.058.000,4.094.500,145258,449126,500
2018.09.24,16:00:00,4.094.500,4.098.000,4.082.500,4.091.500,36113,123899,500
2018.09.25,08:00:00,4.128.000,4.143.000,4.110.500,4.130.000,273159,733145,500
2018.09.25,12:00:00,4.130.500,4.135.000,4.078.500,4.079.000,166740,520364,500
2018.09.25,16:00:00,4.079.000,4.088.000,4.068.500,4.077.000,41800,143566,500
2018.09.26,08:00:00,4.080.000,4.094.000,4.049.500,4.059.500,280048,755972,500
2018.09.26,12:00:00,4.059.000,4.060.000,4.009.000,4.025.500,205564,628448,500
2018.09.26,16:00:00,4.025.500,4.035.500,4.018.500,4.034.500,47063,141718,500
2018.09.27,08:00:00,4.037.000,4.055.000,3.966.500,3.984.500,295779,871716,500
2018.09.27,12:00:00,3.984.000,4.015.500,3.982.000,3.992.000,169035,547712,500
2018.09.27,16:00:00,3.992.500,4.015.000,3.984.000,4.013.000,42006,141281,500
2018.09.28,08:00:00,4.044.500,4.059.000,3.997.000,4.000.000,264587,719606,500
2018.09.28,12:00:00,4.000.500,4.054.500,3.998.000,4.052.500,171104,528490,500
2018.09.28,16:00:00,4.052.500,4.066.000,4.044.000,4.059.000,38299,123203,500
2018.10.01,08:00:00,4.055.500,4.071.000,4.025.000,4.035.500,284599,765427,500
2018.10.01,12:00:00,4.035.500,4.039.000,4.013.000,4.019.000,156340,472608,500
2018.10.01,16:00:00,4.019.000,4.043.000,4.014.500,4.027.500,54755,172857,500
2018.10.02,08:00:00,3.992.500,4.006.000,3.955.000,3.962.000,303583,880110,500
2018.10.02,12:00:00,3.962.000,3.966.000,3.914.000,3.929.000,194693,664260,500
2018.10.02,16:00:00,3.929.000,3.951.500,3.926.000,3.950.000,50187,183901,500
2018.10.03,08:00:00,3.866.500,3.886.500,3.830.500,3.854.000,345972,982044,500
2018.10.03,12:00:00,3.853.500,3.929.500,3.853.500,3.910.000,217851,718313,500
2018.10.03,16:00:00,3.910.000,3.920.500,3.885.000,3.910.000,61641,198249,500
2018.10.04,08:00:00,3.932.500,3.942.000,3.887.000,3.922.500,345330,954199,500
2018.10.04,12:00:00,3.923.000,3.943.000,3.899.000,3.905.000,193036,604554,500
2018.10.04,16:00:00,3.905.000,3.910.000,3.881.000,3.881.500,65203,218178,500
2018.10.05,08:00:00,3.855.000,3.903.000,3.845.500,3.882.500,270007,759503,500
2018.10.05,12:00:00,3.882.000,3.891.500,3.866.000,3.871.500,163780,492924,500
2018.10.05,16:00:00,3.871.500,3.876.000,3.844.000,3.844.000,46158,149886,500
2018.10.08,08:00:00,3.738.500,3.773.000,3.716.000,3.762.000,322689,867388,500
2018.10.08,12:00:00,3.761.500,3.788.500,3.750.000,3.766.500,163105,470531,500
2018.10.08,16:00:00,3.766.000,3.789.500,3.764.500,3.781.500,51735,158504,500
2018.10.09,08:00:00,3.789.000,3.797.500,3.732.000,3.746.000,335254,928249,500
2018.10.09,12:00:00,3.746.000,3.751.000,3.707.500,3.712.000,176249,544473,500
2018.10.09,16:00:00,3.712.000,3.742.000,3.708.500,3.721.500,63190,207983,500
2018.10.10,08:00:00,3.742.500,3.768.000,3.730.500,3.750.500,303704,814118,500
2018.10.10,12:00:00,3.751.000,3.771.000,3.739.500,3.763.500,172634,512749,500
2018.10.10,16:00:00,3.763.000,3.775.000,3.759.500,3.762.500,53156,158902,500
2018.10.11,08:00:00,3.725.500,3.764.000,3.721.000,3.763.000,316401,822883,500
2018.10.11,12:00:00,3.763.000,3.792.000,3.748.000,3.775.500,199341,559600,500
2018.10.11,16:00:00,3.775.500,3.789.500,3.770.000,3.789.500,57799,168640,500
2018.10.15,08:00:00,3.764.000,3.770.500,3.729.500,3.730.500,220179,571878,500
2018.10.15,12:00:00,3.730.000,3.739.000,3.718.500,3.736.000,156979,472856,500
2018.10.15,16:00:00,3.735.500,3.747.000,3.733.000,3.740.000,57995,196655,500
2018.10.16,08:00:00,3.725.000,3.729.500,3.695.500,3.707.000,283194,763343,500
2018.10.16,12:00:00,3.707.500,3.735.000,3.705.500,3.732.500,159154,478973,500
2018.10.16,16:00:00,3.732.500,3.733.500,3.718.000,3.730.000,45258,150528,500
2018.10.17,08:00:00,3.745.000,3.750.000,3.698.500,3.703.500,289672,765811,500
2018.10.17,12:00:00,3.703.500,3.709.000,3.667.500,3.684.000,214909,683844,500
2018.10.17,16:00:00,3.684.500,3.692.500,3.680.500,3.690.500,42102,142447,500
2018.10.18,08:00:00,3.695.500,3.709.000,3.676.500,3.704.000,282975,776983,500
2018.10.18,12:00:00,3.704.000,3.724.000,3.697.500,3.712.500,180464,554573,500
2018.10.18,16:00:00,3.713.000,3.736.000,3.710.000,3.725.000,58674,214285,500
2018.10.19,08:00:00,3.709.500,3.720.500,3.690.500,3.711.500,276511,766578,500
2018.10.19,12:00:00,3.711.000,3.729.500,3.702.000,3.710.500,154462,493274,500
2018.10.19,16:00:00,3.710.500,3.725.000,3.708.500,3.718.000,41155,130981,500
2018.10.22,08:00:00,3.698.000,3.722.500,3.672.000,3.677.000,225028,608199,500
2018.10.22,12:00:00,3.676.500,3.694.000,3.672.500,3.691.500,141904,409740,500
2018.10.22,16:00:00,3.691.500,3.695.000,3.683.500,3.689.500,32693,93007,500
2018.10.23,08:00:00,3.700.000,3.724.500,3.688.000,3.716.500,303944,804645,500
2018.10.23,12:00:00,3.717.000,3.718.000,3.694.000,3.700.500,170855,515787,500
2018.10.23,16:00:00,3.701.000,3.704.000,3.694.000,3.695.000,32583,98455,500
2018.10.24,08:00:00,3.700.000,3.725.000,3.683.500,3.721.000,279921,767778,500
2018.10.24,12:00:00,3.720.500,3.739.000,3.716.500,3.729.500,181894,580276,500
2018.10.24,16:00:00,3.729.500,3.747.500,3.729.000,3.734.500,59928,204587,500
2018.10.25,08:00:00,3.720.000,3.734.500,3.697.500,3.698.000,296251,833946,500
2018.10.25,12:00:00,3.698.000,3.704.500,3.683.000,3.702.500,154249,501796,500
2018.10.25,16:00:00,3.702.500,3.713.500,3.697.500,3.707.500,40042,134403,500
