<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2015.08.01;13.26;13.51;11.02;11.76;132295;31254600;1
2015.09.01;11.38;12.16;10.79;10.88;162414;41941700;1
2015.10.01;10.93;12.12;10.05;10.14;133805;35219200;1
2015.11.01;10.21;11.52;9.80;10.70;178752;47795600;1
2015.12.01;10.84;11.67;10.39;10.56;154940;49723800;1
2016.01.01;10.50;11.05;9.49;10.92;199618;42360200;1
2016.02.01;10.71;10.88;9.07;9.37;209784;53392500;1
2016.03.01;9.43;10.80;9.28;9.99;257619;66060700;1
2016.04.01;10.06;11.03;9.39;10.83;194586;53628000;1
2016.05.01;10.78;11.35;10.24;10.26;141390;39472900;1
2016.06.01;10.33;10.88;9.68;9.84;153671;42215800;1
2016.07.01;9.90;11.02;9.43;10.94;163060;45630100;1
2016.08.01;10.94;12.50;10.82;11.87;189775;48138000;1
2016.09.01;11.86;12.93;11.57;12.72;168228;41111000;1
2016.10.01;12.67;13.18;12.18;12.68;161072;39020600;1
2016.11.01;12.68;12.73;10.86;11.21;200331;42408400;1
2016.12.01;11.09;11.22;10.18;11.22;180508;41320100;1
2017.01.01;11.14;11.80;10.69;11.51;136623;38617300;1
2017.02.01;11.59;12.69;11.30;12.29;125288;31346600;1
2017.03.01;12.53;13.12;11.82;12.69;192348;53498000;1
2017.04.01;12.65;13.10;12.11;12.91;126408;37666600;1
2017.05.01;12.96;14.90;12.52;13.86;219011;55380800;1
2017.06.01;13.87;14.15;12.63;12.91;137120;34839900;1
2017.07.01;13.00;14.48;12.94;13.90;115167;27414700;1
2017.08.01;13.94;15.47;13.86;15.01;130007;30710700;1
2017.09.01;15.12;17.46;15.03;15.70;146162;42774000;1
2017.10.01;15.80;17.12;15.21;15.65;178102;39858800;1
2017.11.01;15.83;17.34;15.31;16.83;165031;37815800;1
2017.12.01;16.75;18.44;16.39;17.77;128754;35287400;1
2018.01.01;17.95;19.36;17.32;17.47;163468;38635800;1
2018.02.01;17.51;18.15;15.83;17.25;177609;42089200;1
2018.03.01;17.08;17.47;16.14;16.76;152978;35705700;1
2018.04.01;16.81;17.47;15.77;17.13;155478;36833900;1
2018.05.01;17.14;18.72;15.85;16.55;255260;73794400;1
2018.06.01;16.82;17.34;14.52;15.66;274240;74683100;1
2018.07.01;15.74;18.77;15.08;17.95;206459;61290900;1
2018.08.01;17.94;18.56;16.61;18.56;224481;60585100;1
2018.09.01;18.46;19.43;17.79;19.18;164329;44178500;1
2018.10.01;19.23;19.67;16.74;17.48;309000;85000500;1
2018.11.01;17.50;18.70;16.96;17.31;213287;58856500;1
2018.12.01;17.46;17.79;16.33;17.08;195253;58713000;1
2019.01.01;17.16;19.10;17.04;18.34;239562;70886600;1
2019.02.01;18.36;19.52;17.73;18.02;249920;62266100;1
2019.03.01;18.15;19.01;17.04;17.64;196757;46988700;1
2019.04.01;17.84;19.03;17.58;18.21;205399;54175100;1
2019.05.01;18.21;19.03;17.32;18.67;233233;63427600;1
2019.06.01;18.71;21.40;18.27;20.94;226462;61093400;1
2019.07.01;21.47;24.08;21.09;23.48;267991;69762000;1
2019.08.01;23.62;24.48;20.89;22.18;311810;78520600;1
2019.09.01;22.18;24.20;21.87;23.91;211078;53744800;1
2019.10.01;23.69;26.24;22.34;25.17;277745;68818500;1
2019.11.01;25.54;30.02;25.37;30.02;286682;80667600;1
2019.12.01;30.02;35.05;29.74;34.24;269156;85853700;1
2020.01.01;34.48;43.75;32.82;38.94;376074;101295600;1
2020.02.01;39.32;49.53;39.19;42.78;503529;140291500;1
2020.03.01;43.52;49.37;24.89;33.31;835465;216481100;1
2020.04.01;32.14;43.70;31.17;39.63;508081;130723800;1
2020.05.01;38.67;41.50;35.72;41.50;459766;110742800;1
2020.06.01;41.56;51.10;40.94;50.24;418083;103724800;1
2020.07.01;50.43;70.64;50.43;66.99;573075;132869400;1
2020.08.01;67.00;70.54;63.86;64.27;486086;110209900;1
2020.09.01;65.35;67.76;60.42;65.38;476844;108084800;1
2020.10.01;65.52;86.78;64.62;75.46;675791;164441300;1
2020.11.01;77.61;85.85;73.21;73.21;489310;105461500;1
2020.12.01;73.49;76.31;67.97;75.40;449612;104472400;1
2021.01.01;75.51;93.44;73.67;83.41;554082;121215600;1
2021.02.01;85.03;89.67;77.66;77.70;537365;115722200;1
2021.03.01;78.92;79.90;69.12;70.74;548363;118506000;0
