<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2020.05.21;08:00:00;81085;83490;80875;82825;1254931;4235777;5
2020.05.21;12:00:00;82825;83280;82240;82830;1217292;4367178;5
2020.05.21;16:00:00;82830;83315;82825;83280;411949;1567471;5
2020.05.22;08:00:00;82995;83350;81690;82135;1427660;4524546;5
2020.05.22;12:00:00;82135;82800;81865;81980;1121489;3669227;5
2020.05.22;16:00:00;81980;84390;81500;84310;681783;2081501;5
2020.05.25;08:00:00;85245;85670;84725;85310;1125587;3037624;5
2020.05.25;12:00:00;85305;85825;85000;85795;940128;2693824;5
2020.05.25;16:00:00;85800;86115;85715;86010;410441;1197054;5
2020.05.26;08:00:00;86680;87445;86505;86965;1391093;3991389;5
2020.05.26;12:00:00;86960;87045;85545;86060;1484708;4753984;5
2020.05.26;16:00:00;86055;86215;85360;86085;538888;1755669;5
2020.05.27;08:00:00;86775;87160;86005;86180;1401673;4264064;5
2020.05.27;12:00:00;86180;87700;86115;87610;1123412;3866153;5
2020.05.27;16:00:00;87615;88260;87530;88105;437174;1705769;5
2020.05.28;08:00:00;87915;87985;86805;87340;1463486;4316439;5
2020.05.28;12:00:00;87340;88210;87215;87915;1194278;4004597;5
2020.05.28;16:00:00;87910;87925;86595;86595;581292;2015662;5
2020.05.29;08:00:00;86605;87365;85770;86070;1357466;4103722;5
2020.05.29;12:00:00;86070;87090;85365;87050;1291546;4362108;5
2020.05.29;16:00:00;87050;87625;86535;87570;514588;1682288;5
2020.06.01;08:00:00;87500;88125;86670;87985;1110677;3490912;5
2020.06.01;12:00:00;87990;89155;87835;88990;974450;3609878;5
2020.06.01;16:00:00;88990;89100;88670;88830;356943;1278691;5
2020.06.02;08:00:00;89655;90685;89145;90625;1183613;3873065;5
2020.06.02;12:00:00;90625;90850;90225;90750;880382;3220398;5
2020.06.02;16:00:00;90750;91500;90595;91470;377955;1467541;5
2020.06.03;08:00:00;91525;93835;91520;93290;1419899;4728831;5
2020.06.03;12:00:00;93290;93540;92320;93030;1154420;4285196;5
2020.06.03;16:00:00;93025;93285;92430;92670;384884;1444845;5
2020.06.04;08:00:00;92110;93450;91970;93270;1613759;4906434;5
2020.06.04;12:00:00;93265;94270;92890;93605;1206214;4241940;5
2020.06.04;16:00:00;93600;94240;93300;93815;443970;1624084;5
2020.06.05;08:00:00;95445;97450;95050;96555;1594511;4867171;5
2020.06.05;12:00:00;96550;96810;94810;95100;1192004;4062628;5
2020.06.05;16:00:00;95095;95195;94300;94450;475492;1607804;5
2020.06.08;08:00:00;95670;96485;95460;96390;1367950;4152748;5
2020.06.08;12:00:00;96390;97415;96285;97090;1075686;3852769;5
2020.06.08;16:00:00;97090;97820;96895;97665;495649;1815835;5
2020.06.09;08:00:00;96700;97280;95505;97125;1563027;4641278;5
2020.06.09;12:00:00;97130;97390;96565;96830;951606;3192212;5
2020.06.09;16:00:00;96830;97245;96405;96520;407555;1405750;5
2020.06.10;08:00:00;97020;97975;94730;95050;1709701;5518185;5
2020.06.10;12:00:00;95045;96405;94530;95005;1657858;5547594;5
2020.06.10;16:00:00;95000;95720;94325;94325;559321;2003271;5
2020.06.12;08:00:00;91400;93370;90735;91305;1933380;5330677;5
2020.06.12;12:00:00;91310;92500;90675;91895;2096560;6184648;5
2020.06.12;16:00:00;91895;92995;91885;92995;585736;1869977;5
2020.06.15;08:00:00;90695;91440;89935;90515;1972934;5810459;5
2020.06.15;12:00:00;90515;93190;90405;92325;1791112;6080233;5
2020.06.15;16:00:00;92330;93065;92080;92520;606297;2099743;5
2020.06.16;08:00:00;94300;95675;93295;93360;24996;42959;5
2020.06.16;12:00:00;93360;94665;93000;94120;28079;50180;5
2020.06.16;16:00:00;94115;94170;93500;93900;13368;24283;5
2020.06.17;08:00:00;94585;95300;94125;95125;1363040;4179247;5
2020.06.17;12:00:00;95120;96840;94660;96175;1289503;4416273;5
2020.06.17;16:00:00;96170;96385;95535;95560;475565;1688043;5
2020.06.18;08:00:00;94180;97370;93985;97340;1659945;5021235;5
2020.06.18;12:00:00;97345;97395;96275;96460;1290707;4418497;5
2020.06.18;16:00:00;96460;96495;95920;95920;418505;1505950;5
2020.06.19;08:00:00;97155;97950;96820;97150;1510946;4603594;5
2020.06.19;12:00:00;97150;97630;95985;96710;1597587;5609414;5
2020.06.19;16:00:00;96710;96920;96080;96250;478934;1731227;5
2020.06.22;08:00:00;97435;97520;96145;96345;1317529;4248585;5
2020.06.22;12:00:00;96345;96490;95210;95570;1114712;3977981;5
2020.06.22;16:00:00;95570;95820;95025;95800;411322;1506849;5
